source,target,weight,type
n1,n0,87.3430308368,undirected
n2,n0,98.1741375614,undirected
n2,n1,88.172678018,undirected
n3,n0,85.613349205,undirected
n3,n1,76.4196614151,undirected
n3,n2,85.9907814815,undirected
n4,n0,98.4233877053,undirected
n4,n1,87.5853563191,undirected
n4,n2,97.9929091339,undirected
n4,n3,86.1244440061,undirected
n5,n0,79.0103438713,undirected
n5,n1,70.4591194877,undirected
n5,n2,79.8353782734,undirected
n5,n3,71.5434440027,undirected
n5,n4,79.5091192013,undirected
n6,n0,89.6983662596,undirected
n6,n1,79.9553138882,undirected
n6,n2,90.9374879033,undirected
n6,n3,77.1673848452,undirected
n6,n4,89.163792296,undirected
n6,n5,71.5176698068,undirected
n7,n0,101.967923691,undirected
n7,n1,91.2027111918,undirected
n7,n2,102.244916471,undirected
n7,n3,88.6351164161,undirected
n7,n4,101.918775098,undirected
n7,n5,81.8428918583,undirected
n7,n6,93.3433869532,undirected
n8,n0,82.5492719718,undirected
n8,n1,75.1624934971,undirected
n8,n2,83.9541902521,undirected
n8,n3,71.5613617939,undirected
n8,n4,82.2735780707,undirected
n8,n5,65.9888611803,undirected
n8,n6,76.5324515687,undirected
n8,n7,86.259507177,undirected
n9,n0,101.581927282,undirected
n9,n1,91.3719579258,undirected
n9,n2,102.784380027,undirected
n9,n3,89.4629603159,undirected
n9,n4,101.681507812,undirected
n9,n5,82.9360110856,undirected
n9,n6,93.2372441308,undirected
n9,n7,105.691164706,undirected
n9,n8,86.4603577722,undirected
n10,n0,99.3510660088,undirected
n10,n1,89.3728221271,undirected
n10,n2,100.822079546,undirected
n10,n3,86.7792038296,undirected
n10,n4,99.2217484469,undirected
n10,n5,80.4564420698,undirected
n10,n6,91.9019023025,undirected
n10,n7,103.506491388,undirected
n10,n8,84.9248440483,undirected
n10,n9,103.870030327,undirected
n11,n0,94.900918203,undirected
n11,n1,84.8272289535,undirected
n11,n2,95.4486705093,undirected
n11,n3,84.4680521393,undirected
n11,n4,95.3048233065,undirected
n11,n5,78.415048249,undirected
n11,n6,86.1706982299,undirected
n11,n7,98.4253364501,undirected
n11,n8,79.5960661413,undirected
n11,n9,99.0385253473,undirected
n11,n10,96.4299890963,undirected
n12,n0,102.893779968,undirected
n12,n1,92.2541289119,undirected
n12,n2,103.401908289,undirected
n12,n3,90.4809297636,undirected
n12,n4,103.069098372,undirected
n12,n5,83.700277835,undirected
n12,n6,93.8168211926,undirected
n12,n7,106.851985694,undirected
n12,n8,87.0266513026,undirected
n12,n9,107.102691304,undirected
n12,n10,104.578713922,undirected
n12,n11,100.080176603,undirected
n13,n0,100.817707168,undirected
n13,n1,91.0093338696,undirected
n13,n2,101.822465717,undirected
n13,n3,88.2202000543,undirected
n13,n4,100.850896884,undirected
n13,n5,81.5434604421,undirected
n13,n6,92.5393434082,undirected
n13,n7,104.98915709,undirected
n13,n8,86.2276463935,undirected
n13,n9,105.25033111,undirected
n13,n10,103.011964022,undirected
n13,n11,97.8281626369,undirected
n13,n12,106.192577213,undirected
n14,n0,100.077460665,undirected
n14,n1,90.296666928,undirected
n14,n2,100.669983073,undirected
n14,n3,87.6005557625,undirected
n14,n4,100.236373714,undirected
n14,n5,80.8808032617,undirected
n14,n6,91.4368978931,undirected
n14,n7,104.141326283,undirected
n14,n8,85.236090677,undirected
n14,n9,104.257236039,undirected
n14,n10,101.924817219,undirected
n14,n11,97.0970751298,undirected
n14,n12,105.347252624,undirected
n14,n13,103.612494264,undirected
n15,n0,95.9598551399,undirected
n15,n1,86.4057135631,undirected
n15,n2,96.7411819812,undirected
n15,n3,83.3092628845,undirected
n15,n4,95.9248982717,undirected
n15,n5,76.9832343538,undirected
n15,n6,88.3536282808,undirected
n15,n7,99.94623867,undirected
n15,n8,81.7677073697,undirected
n15,n9,99.8679496765,undirected
n15,n10,97.9727657037,undirected
n15,n11,92.7297502782,undirected
n15,n12,100.78372129,undirected
n15,n13,99.2662817097,undirected
n15,n14,98.397536724,undirected
n16,n0,94.3937730868,undirected
n16,n1,85.7414510082,undirected
n16,n2,95.4380012108,undirected
n16,n3,82.5959724801,undirected
n16,n4,94.5415671545,undirected
n16,n5,76.2867188479,undirected
